Class,Precision,Recall,F1-Score,Support
bacterial,0.9393939393939394,1.0,0.96875,31
fungal,0.9861111111111112,0.9594594594594594,0.9726027397260274,74
healthy,0.9583333333333334,1.0,0.9787234042553191,115
pests,1.0,0.959349593495935,0.979253112033195,123
